NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
487;École doctorale Philosophie;PHCR;2018;2017-18;2017;22;18;16;0;0;2;4;2;0;2;0;0;0;0;3BRzJ
513;École doctorale Droit et sciences politiques, économiques et de gestion;DESPEG;2018;2017-18;2017;70;53;48;2;0;3;17;4;1;3;7;2;0;0;aVHGU
547;École doctorale Sciences, Technologie, Santé;EDSTS;2018;2017-18;2017;52;37;33;4;0;0;15;5;1;0;8;1;0;0;wEdn2
570;École doctorale Santé Publique;EDSP;2018;2017-18;2017;39;34;29;3;0;2;5;2;0;2;1;0;0;0;9lgE4
573;École doctorale Interfaces : Approches Interdisciplinaires, Fondements, Applications et Innovation;ED INTERFACES;2018;2017-18;2017;67;44;34;10;0;0;23;8;0;13;1;1;0;0;gG820
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;2018;2017-18;2017;70;54;40;13;0;1;16;4;2;4;4;2;0;0;dfhyn
581;École doctorale Agriculture, alimentation, biologie, environnement, santé;ABIES;2018;2017-18;2017;69;57;39;18;0;0;12;1;2;7;1;1;0;0;c1x56
50;École doctorale Langues, littératures et sciences humaines;LLSH;2017;2016-17;2016;44;35;32;0;0;3;9;3;0;1;1;4;0;0;8THzQ
522;École doctorale Sciences et ingénierie en matériaux, mécanique, énergétique et aéronautique;SI-MMEA;2013;2012-13;2012;75;54;35;19;0;0;21;7;0;8;6;0;0;0;82F19
533;École doctorale Sciences du management : Gestion, organisation, décision, information;GODI;2013;2012-13;2012;42;36;35;0;0;1;6;2;0;0;0;4;0;0;ld7FG
158;École doctorale Cerveau, cognition, comportement;3C;2017;2016-17;2016;88;68;64;2;0;2;20;12;1;3;0;4;0;0;Il62F
242;École doctorale Économie - Gestion - Normandie;;2017;2016-17;2016;16;16;15;0;0;1;0;0;0;0;0;0;0;0;z35ku
542;École doctorale de sciences de La Réunion;STS;2013;2012-13;2012;39;37;32;4;0;1;2;1;0;0;1;0;0;0;2pAql
6;École doctorale Droit privé;;2012;2011-12;2011;62;55;52;0;0;3;7;2;0;3;1;1;0;0;UMnW1
515;École doctorale Complexité du vivant;CdV;2017;2016-17;2016;83;59;59;0;0;0;24;11;2;7;0;3;1;0;CbV9s
85;École doctorale Sciences de la vie et de la santé;SVS;2012;2011-12;2011;31;26;23;3;0;0;5;3;0;2;0;0;0;0;YdiMF
588;École doctorale Milieu insulaire tropical : dynamiques de développement, sociétés, patrimoine et culture dans l'espace Caraïbes-Amériques;;2017;2016-17;2016;57;56;56;0;0;0;1;0;1;0;0;0;0;0;4W5IO
146;École doctorale Galilée;GALILEE;2012;2011-12;2011;59;45;44;1;0;0;14;3;1;3;6;1;0;0;71hqm
62;École doctorale Sciences de la vie et de la santé;;2016;2015-16;2015;191;133;98;9;0;26;58;29;1;15;10;3;0;0;vZzE7
37;École doctorale Sciences physiques pour l'ingénieur et microtechniques;SPIM;2011;2010-11;2010;97;68;48;19;0;1;29;5;0;15;8;1;0;0;F7G1B
151;École doctorale Biologie, santé, biotechnologies;;2016;2015-16;2015;87;73;69;3;1;0;14;4;2;7;1;0;0;0;yP8w4
234;École doctorale de Sciences Po;;2016;2015-16;2015;61;44;44;0;0;0;17;11;0;1;1;4;0;0;ux756
254;École doctorale Sciences de la matière;;2016;2015-16;2015;87;62;45;17;0;0;25;7;0;10;5;3;0;0;365F2
