geo_unit,year,inbound_total,outbound_mobility_ratio,inbound_mobility_rate,outbound_total
TKM,2022,69,67.95356750488281,0.0778099969029427,60262
TKM,2023,53,64.5118179321289,0.0550399981439114,62124
TKM,2024,53,NA,0.0517800003290176,NA
TTO,2022,1255,NA,NA,3387
TTO,2023,1177,NA,NA,3469
TUN,2022,8642,9.0972900390625,2.892770051956177,27178
TUN,2023,9496,9.595029830932615,3.104099988937378,29353
TUR,2022,244027,0.7259500026702881,2.941159963607788,60232
TUR,2023,301634,NA,4.311890125274658,66914
TZA,2022,1205,2.503890037536621,0.382974936594606,7409
TZA,2024,1058,NA,0.4196780617061618,NA
UKR,2023,50865,6.635869979858398,3.52958075256088,95630
UKR,2024,34889,NA,2.208048564537433,NA
URY,2022,4428,3.130089998245239,2.260720014572144,6131
URY,2023,4207,2.759370088577271,2.079109907150269,5583
USA,2023,956923.125,0.6545699834823608,5.301539897918701,118150
UZB,2022,5503,NA,0.5218699246325326,141000
UZB,2023,4935,NA,0.4269318107868355,120563
UZB,2024,10819,NA,0.7473290188707657,NA
VNM,2022,7760,4.629769802093506,0.2675564066485008,134278
WSM,2022,162,31.23870086669922,5.013927576601671,1009
WSM,2023,134,39.31364822387695,5.163776493256262,1020
ZAF,2022,30631,1.029430031776428,2.501755990787174,12604
ZAF,2023,38481,1.11217999458313,3.225125150545231,13270
AGO,2023,NA,3.599030017852783,NA,11955
BGD,2023,NA,1.91923999786377,NA,76328
BTN,2022,NA,39.16151809692383,NA,4971
BTN,2023,NA,94.57029724121094,NA,10309
COG,2023,NA,25.54261016845703,NA,14055
IDN,2022,NA,0.6965000033378601,NA,64915
IDN,2023,NA,0.7122600078582764,NA,70174
KHM,2022,NA,3.621900081634521,NA,7493
KHM,2023,NA,3.035010099411011,NA,8489
LAO,2023,NA,7.596020221710205,NA,8116
MEX,2022,NA,0.7293599843978882,1.176540017127991,36972
MNE,2022,NA,24.08358001708984,NA,5389
MNE,2023,NA,24.79610061645508,NA,5251
NLD,2023,NA,1.920359969139099,NA,18922
NPL,2022,NA,20.68021011352539,NA,95300
NPL,2023,NA,18.68548011779785,NA,108273
PAK,2022,NA,3.512619972229004,NA,89913
PAK,2023,NA,4.177199840545654,NA,114849
PHL,2023,NA,0.8647500276565552,0.4127366365062936,41440
PRI,2023,NA,0.4260199964046478,NA,678
SUR,2022,NA,31.08338928222656,NA,996
SXM,2022,NA,75.86443328857422,NA,134
SXM,2023,NA,85.02861785888672,NA,152
TLS,2023,NA,5.972340106964111,NA,2794
TON,2023,NA,26.53401947021484,NA,1209
TZA,2023,NA,2.503530025482178,2.002275602112877,7877
USA,2022,NA,0.6432499885559082,4.891210079193115,114885
VGB,2022,NA,39.12821960449219,NA,252
VGB,2023,NA,53.06687164306641,NA,326
ABW,2024,NA,NA,7.151095732410612,NA
BWA,2024,NA,NA,3.81477024892833,NA
EGY,2025,NA,NA,3.236409346500235,NA
KAZ,2025,NA,NA,4.066685739551094,NA
KGZ,2025,NA,NA,16.66459282675589,NA
MEX,2024,NA,NA,2.043349981307983,NA
MHL,2024,NA,NA,1.311249137336094,NA
PAN,2023,NA,NA,2.479787461701872,5725
PHL,2022,NA,NA,0.5385120902303083,30064
PLW,2024,NA,NA,9.375,NA
RUS,2024,NA,NA,0.4284698487414126,NA
THA,2025,NA,NA,2.271601335812395,NA
UZB,2025,NA,NA,0.801755438628881,NA
VNM,2023,NA,NA,0.0788635489060638,128186
VNM,2024,NA,NA,0.2995728313330991,NA
ZWE,2024,NA,NA,0.4886248143225706,NA
ABW,2022,NA,NA,NA,331
ABW,2023,NA,NA,NA,300
AFG,2022,NA,NA,NA,34068
AFG,2023,NA,NA,NA,34833
