indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,BEN,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BFA,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGD,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BGR,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2013,Source,Data sources,UIS Education Survey
